iter	RMSE
0	8.873986831
1	8.610394823
2	8.386252879
3	8.176596554
4	7.969887194
5	7.736431232
6	7.543020448
7	7.322914032
8	7.145648979
9	6.978295406
10	6.778829016
11	6.648326702
12	6.457915883
13	6.337795675
14	6.179350781
15	6.024867009
16	5.870659933
17	5.703439909
18	5.541590199
19	5.403050442
20	5.250298333
21	5.119040872
22	4.974859625
23	4.835264198
24	4.698218482
25	4.580763018
26	4.466243941
27	4.35266407
28	4.231380653
29	4.125596135
30	4.02245623
31	3.921894823
32	3.813027973
33	3.717702272
34	3.624759714
35	3.53414072
36	3.444421116
37	3.349182514
38	3.26545295
39	3.183816625
40	3.104221208
41	3.026615677
42	2.950950284
43	2.877176526
44	2.805247111
45	2.735115933
46	2.666738033
47	2.600069581
48	2.535067841
49	2.47080708
50	2.409036903
51	2.348810979
52	2.290090704
53	2.232838435
54	2.177017474
55	2.122592036
56	2.069527234
57	2.017789053
58	1.967344326
59	1.918160717
60	1.870206698
61	1.82345153
62	1.777865241
63	1.733418609
64	1.690083143
65	1.647831064
66	1.606635287
67	1.566469404
68	1.527307669
69	1.489124976
70	1.451896851
71	1.415599429
72	1.380209443
73	1.345704207
74	1.312061601
75	1.27926006
76	1.247278558
77	1.216096594
78	1.185694179
79	1.156051824
80	1.127150528
81	1.098971764
82	1.07149747
83	1.044710032
84	1.018592281
85	0.9931274739
86	0.9682992867
87	0.9440918041
88	0.9204895087
89	0.8974772706
90	0.8750403385
91	0.8531643297
92	0.8318352212
93	0.8110393403
94	0.7907633565
95	0.7709942723
96	0.7517194152
97	0.7329264296
98	0.7146032685
99	0.6967381866
100	0.6793197316
101	0.6623367381
102	0.6457783194
103	0.6296338612
104	0.6138930144
105	0.5985456888
106	0.5835820464
107	0.568992495
108	0.5547676824
109	0.5408984901
110	0.5273760277
111	0.5141916268
112	0.5013368359
113	0.4888034149
114	0.4765833293
115	0.4646687459
116	0.4530520271
117	0.4417257262
118	0.4306825829
119	0.4199155182
120	0.4094176301
121	0.3991821892
122	0.3892026343
123	0.3794725683
124	0.3699857539
125	0.3607361099
126	0.3517177071
127	0.3429247643
128	0.334351645
129	0.3259928538
130	0.3178430323
131	0.3098969564
132	0.3021495324
133	0.2945957939
134	0.287230899
135	0.2800501264
136	0.2730488731
137	0.2662226512
138	0.2595670848
139	0.2530779076
140	0.2467509598
141	0.2405821857
142	0.234567631
143	0.2287034401
144	0.222985854
145	0.2174112076
146	0.2119759273
147	0.2066765291
148	0.2015096158
149	0.1964718753
150	0.1915600783
151	0.1867710763
152	0.1821017993
153	0.1775492543
154	0.1731105229
155	0.1687827597
156	0.1645631907
157	0.1604491108
158	0.156437883
159	0.1525269359
160	0.1487137624
161	0.1449959183
162	0.1413710203
163	0.1378367447
164	0.1343908261
165	0.1310310554
166	0.1277552789
167	0.1245613969
168	0.1214473619
169	0.1184111779
170	0.1154508984
171	0.1125646259
172	0.1097505102
173	0.1070067474
174	0.1043315787
175	0.1017232891
176	0.09918020688
177	0.09670070167
178	0.09428318409
179	0.09192610445
180	0.08962795181
181	0.08738725298
182	0.08520257162
183	0.0830725073
184	0.08099569459
185	0.07897080219
186	0.07699653211
187	0.07507161878
188	0.07319482828
189	0.07136495755
190	0.06958083358
191	0.06784131271
192	0.06614527987
193	0.06449164785
194	0.06287935663
195	0.06130737269
196	0.05977468835
197	0.05828032112
198	0.05682331307
199	0.05540273022
200	0.05401766195
201	0.05266722038
202	0.05135053985
203	0.05006677633
204	0.04881510691
205	0.04759472921
206	0.04640486097
207	0.04524473943
208	0.04411362092
209	0.04301078038
210	0.04193551086
211	0.04088712307
212	0.03986494498
213	0.03886832134
214	0.03789661329
215	0.03694919794
216	0.03602546798
217	0.03512483127
218	0.03424671047
219	0.0333905427
220	0.03255577912
221	0.03174188463
222	0.0309483375
223	0.03017462905
224	0.02942026332
225	0.02868475672
226	0.02796763779
227	0.02726844684
228	0.02658673566
229	0.02592206726
230	0.02527401556
231	0.02464216517
232	0.02402611103
233	0.02342545824
234	0.02283982178
235	0.02226882623
236	0.02171210556
237	0.02116930291
238	0.02064007033
239	0.02012406857
240	0.01962096685
241	0.01913044267
242	0.01865218159
243	0.01818587705
244	0.01773123011
245	0.01728794935
246	0.01685575061
247	0.01643435684
248	0.01602349792
249	0.01562291046
250	0.01523233769
251	0.01485152925
252	0.01448024101
253	0.01411823498
254	0.0137652791
255	0.01342114712
256	0.01308561843
257	0.01275847797
258	0.01243951601
259	0.01212852811
260	0.0118253149
261	0.01152968202
262	0.01124143997
263	0.01096040397
264	0.01068639386
265	0.01041923401
266	0.01015875316
267	0.009904784326
268	0.009657164714
269	0.009415735592
270	0.009180342199
271	0.008950833641
272	0.008727062796
273	0.008508886223
274	0.008296164064
275	0.00808875996
276	0.007886540958
277	0.007689377431
278	0.007497142992
279	0.007309714415
280	0.007126971551
281	0.00694879726
282	0.006775077326
283	0.00660570039
284	0.006440557878
285	0.006279543929
286	0.006122555328
